Comment,Sentiment_Score
news expand build much chelsea fan clearli need increas capac,0.5574
go quiet sinc battersea fail bid also pitch share holder make hard chanc make big ive heard read health safeti wont allow arent enough exit point sure true though,0.1862
yeah look pretti much stuck year least,0.0516
obviou option present within desir 3 mile radiu stamford,0.0
pure selfish perspect hope never leav love,-0.5526
battersea brilliant pipe,0.5859
battersea brilliant pipe,0.5859
perhap qpr drop financi difficulti coul build sitebig ground basic share,0.0258
rather didnt move unless battersea plan law chang mayb day right architect good prevail wind well abl expand,0.743
ive heard real way extend knock bate motel see ever happen,0.1779
incred jealou guy youd get battersea someth el im kinda glad didnt though look pink floyd album,0.4033
ive heard real way extend knock bate motel see ever happen,0.1779
say plan law chang capac problem understand access fulham road health safetyif could build underground exit behind matthew hard come somewher near seagrov road could option cannot permiss thatyetplu could prohibit expens,-0.4767
rememb ken bate tri build walk way toward lilli road,0.0
sad thing battersea let icon build fall piec hope get permiss build eventu fall downi own malaysian consortium although could wrong thatth fabric build get decrepit roof go,-0.5106
lot think train track anoth yet none work thu go allow cant see get big choic move easi tri find right plot land battersea amaz greadi fat cat go plan coughbribecough,0.2263
want leav mani you watch develop today howev battersea amaz chimney histori behind build design insid im sure dortmund ground,0.3818
still boil exit go onto fulham road,0.0
sad thing battersea let icon build fall piec hope get permiss build eventu fall downi own malaysian consortium although could wrong thatth fabric build get decrepit roof go,-0.5106
yeah icon leav rot crime,-0.3182
wouldnt nice chelsea wait year two put bid owner,-0.3252
still boil exit go onto fulham road,0.0
battersea power station amaz,0.0
there enough squar footag around stamford expand current 5 thousand big enough want,0.3818
couldnt continu old think railtrack especi away fan north end bridgethatl take 5000 away,0.3182
battersea power station amaz,0.0
fail cant rememb,-0.5423
way need bare sell home game interest anoth modern soulless bowl fill tourist day tripper stamford home end,0.4588
way need bare sell home game interest anoth modern soulless bowl fill tourist day tripper stamford home end,0.4588
probabl need anoth 510 season grow true household name manu arsen justifi 65k seater seem need alreadi,0.4215
specul accumul battersea excel proposit especi price potenti low young fan,0.4939
way need bare sell home game interest anoth modern soulless bowl fill tourist day tripper stamford home end,0.4588
,0.0
move hope board serious consid area youngster attend ten fifteen pound game encourag futur gener blue start attend,0.3818
there nice complex could easili expand three mile live shame northamptonshir,0.25
thing though need big,0.0
httpsmapsgooglecoukmapsmsieutf8tpvpsrc6oeutf8msa0msid2006182408598114444630004ae7555340816369c6,0.0
well here snippet articl last week,0.2732
way need bare sell home game interest anoth modern soulless bowl fill tourist day tripper stamford home end,0.4588
didnt come way share ground way,-0.2235
way need bare sell home game interest anoth modern soulless bowl fill tourist day tripper stamford home end,0.4588
say case build come,0.0
work whoever invent vibrat,0.0
specul accumul,0.0
sale celeri plummetedsham,0.0
regard young gener thing young peopl go like fulham club lower divis ticket cheaper,0.0772
regard young gener thing young peopl go like fulham club lower divis ticket cheaper,0.0772
rumour there announc come much futur though noon know exactli,0.0
inde rumour,0.0
inde rumour,0.0
far futur talk interest battersea move anywher tbh potenti redevelop get capac 50000 you perfectli,0.4588
sort announc could still need sort cpo issu anyth happen tbh hope expand rather move,0.6369
battersea amaz honest icon stadium world do right thought complet dead sinc malaysian buy,-0.25
far futur talk interest battersea move anywher tbh potenti redevelop get capac 50000 you perfectli,0.4588
go back chelsea circa 6768i love stamford you cours alway usbuton reason id leav im sick pit stomach hear you outsung turf coz away shte noisy part bloodi groundi want 15000 chelsea endyep im selfish b,-0.3818
take roof mh extend upper tier goe high east west creat big sweep bowl guess work im sure talk 7501000 seat take account corner 1015 row could even go back know,0.4588
issu health safeti sign heard big issu make big enough exit away ground,0.0
exit excus doesnt realli wash anyon whose wembley know pretti much lead place didnt stop build 90k,0.2235
capac though gener lot revenu,0.0
issu see expans could come substanti cost finish situat probabl unableunwil expand long time enabl you drastic increas capac ad bonu potenti room expans ifwhen necessari,0.3182
old rumour ect go round round everi month ill believ build work sb elsewher see confirm,-0.4215
far futur talk interest battersea move anywher tbh potenti redevelop get capac 50000 you perfectli,0.4588
old rumour ect go round round everi month ill believ build work sb elsewher see confirm,-0.4215
le ar move highburi emeri lot gooner friend season ticket go £600 £1200 that big increas,0.4939
le ar move highburi emeri lot gooner friend season ticket go £600 £1200 that big increas,0.4939
exit reason ground need evacu within 5 minut emerg also craven cottag increas 6000 take 30k may well abl evacu time theyd need prove council order plan permiss,0.2732
popbut peopl keep say good old fan price outar good old fan includ youwhich includ mani other piss poor see lot old face know unless spud wet manx pool etc lot piss real fun pub pre match stick sit next someon want sit,0.6705
popbut peopl keep say good old fan price outar good old fan includ youwhich includ mani other piss poor see lot old face know unless spud wet manx pool etc lot piss real fun pub pre match stick sit next someon want sit,0.6705
exit reason ground need evacu within 5 minut emerg also craven cottag increas 6000 take 30k may well abl evacu time theyd need prove council order plan permiss,0.2732
last year consult cpo hf council 55k do council happi back plan,0.0
55k do council happi back plan,0.0
reason mate ticket expens nowiv price pl game cup tie pay £50£60 cheap price sit next day tripper atmospher crap kick time spend amount local cfc pub mind mate know prefer doesnt involv day tripper,-0.4588
youv stop go premier leagu game call peopl go everi week day tripper,-0.296
agre point entir carshalton mean im 21 didnt experi good old day good old lad st holder sever year stop go due work commit still go odd cup game away game north uni newcastl ive find view experi lot enjoy real shame still thrill know your sb overal packag watch game mate fellow chelsea fan pub overal good way mani fan creat well sb say contribut posit although,-0.0562
youv stop go premier leagu game call peopl go everi week day tripper,-0.296
manag grab list top 30 attend list europ,0.2023
barca realli averag gate 70k,0.0
youv stop go premier leagu game call peopl go everi week day tripper,-0.296
sure attend figur arriv,0.3182
barca realli averag gate 70k,0.0
httpenwikipediaorgwikiaverageattendancesofeuropeanfootballclub,0.0
strang true suggest 30k empti seat week,0.4215
havent give choic st holder year get make redund mr pregnant time two st back give follow season 2002 im member last season do 18 game two pl away qpr spur qpr owe money pay ticket spur home end st pay £35one friendli awaybha rest leagu cupfa cupcl group everi home europa game becuas ticket £15£20 cheap basic pl ticket doesnt sound lot im save add travel foodbooz ect add,0.34
god thread get depress,-0.2732
le ar move highburi emeri lot gooner friend season ticket go £600 £1200 that big increas,0.4939
sure attend figur arriv,0.3182
realli want leav sb home long footbal move spectacular id realli disappoint want soulless piec crap emir citi ground,-0.5719
might see seat use arsenalbut could season ticket pay attend that youll still see capac attendancei,-0.1027
agre belfast watch everi game go hand game best everi year travel cost day tripper choic,0.8126
bring back terrac look attend atmospher germani keep go solv mani issu,0.0
lad mean like chelsea fan see look post variou thread youll see ive chelsea mate adalaid glasgow north england bar aussi mate come odd game mean sort day tripper come holiday london fashion sort peopl jump ship man utd arsen exampl footbal tourist want sit next peopl phone camera everi throw corner ect,0.6705
bring back terrac look attend atmospher germani keep go solv mani issu,0.0
far mani rumour enough concret movement love big need near futur,0.6369
ticket tourist obtain avail anyon like come season ticket holder sell ticket say season ticket holder sell game supplement cost season ticket true fan let tourist buy ticket state ever make match day tripper make less fan,0.836
well suppos argument simpli tri big attend amount money pocket reason import certain fan soul theyr make isnot guy interest leagu like look chelsea decid field day megastoreim sorri upset anyonebut simpli level fan follow team year home awayposs famili connect,0.802
tri say without stir much troublebut care assign level fan base time follow fan usual benefici also tend activ posit support especi financi longer histori mean good smarter type fan posit support still posit support,0.9686
im say fine get appeal peopl sell shirt fine arnt gonna one thing realli go wrong vital remain access core fanbas,0.1779
that trick isnt team want turn fan core fanbas make fanbas large large fanbas mean even peopl leav thing go wrong still plenti fan support team leav large core fanbas old longstand fan live forev,0.6222
yeah might right,0.296
ive say least money maker die hard match goer littl beyond ticket want day tripper come buy shirt scarf commemor mug corpor box owner,-0.6124
problem arent tri grow fanbas way blackhawk big sport citi chicago team tri peopl arena differ sport team fanbas grow peopl chicago embrac team due success,0.25
ive say least money maker die hard match goer littl beyond ticket want day tripper come buy shirt scarf commemor mug corpor box owner,-0.6124
arsen footbal pay,-0.1027
mean arsen level ticket price,0.0
build least price go lucki addit seat low price level realli depend mani seat produc hope ad kind corpor suit allow ticket price rais dramat,0.7269
interest stuff ticket price fanbas,0.4588
read felt compel comment notion life time support carshalton blue happi chelsea fill whilst charg top dollar help compet financi farcic say mani friend price attend everi game someth do whole lifehi main hobbi passionyet way suppos happi well cant afford go morebut least japanes tourist seat pay 70 quid ticket guess happi coin,0.8779
nobodi say tourist fan welcom say origin post cfc fan welcom merrier,0.743
ticket tourist obtain avail anyon like come season ticket holder sell ticket say season ticket holder sell game supplement cost season ticket true fan let tourist buy ticket state ever make match day tripper make less fan,0.836
read felt compel comment notion life time support carshalton blue happi chelsea fill whilst charg top dollar help compet financi farcic say mani friend price attend everi game someth do whole lifehi main hobbi passionyet way suppos happi well cant afford go morebut least japanes tourist seat pay 70 quid ticket guess happi coin,0.8779
team buy billionair chang forev unfortun long provid longtim fan experi past good bad dishearten support year,0.1027
httpwwwdailymailcouksportfootballarticle2338140chelseaofferedfreshhopebidbuild60000seaterstadiuminvitenewbridgehtml,0.0
big news potenti great news chelsea imo,0.6249
look narrow although area right hand side site doesnt look particularli notabl could mayb buy anyon know area abl verifi land,0.4939
id delight earl court term locat clearli best option leav,0.8442
lilli eh,0.0
offici christen place earl court im sell,0.0
welcom modern world lofti unfortun inevit corpor name samsung,0.0
ah well you name snob call earl court manner discern arsen fan refer soulless corpor bowl ground ashburton grove,0.1027
samsung arena well theyr go put substanti amount project everi right expect name light speak peopl might idea right arsen fan use emir im sure could use whatev call bottom line wouldnt stamford wouldnt renam current home,0.6908
lilli host fa cup final believ,0.0
realli hope goe love stamford root there deni move forward time progress need,0.872
doubt fill 60000 stadiumanywher el wouldnt feel,-0.3612
seem piec land inde awkward narrow build howev signific open door earl court,-0.1531
go could keep name lilli could still call,0.0
sorri state affair realli offici site noth whatsoev stori need reli fan site find what happen offici site realli good squeez anoth shill you whatev late money spin wheez,0.6369
sorri state affair realli offici site noth whatsoev stori need reli fan site find what happen offici site realli good squeez anoth shill you whatev late money spin wheez,0.6369
seem piec land inde awkward narrow build howev signific open door earl court,-0.1531
samsung arena,0.0
samsung arena well theyr go put substanti amount project everi right expect name light speak peopl might idea right arsen fan use emir im sure could use whatev call bottom line wouldnt stamford wouldnt renam current home,0.6908
bamford stridg,0.0
nan,0.0
bamford stridg,0.0
site far wrong way battersea best option,0.2732
look narrow although area right hand side site doesnt look particularli notabl could mayb buy,0.4939
seem piec land inde awkward narrow build howev signific open door earl court,-0.1531
sorri last thing forgiv state,0.0
